Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Zhou, Jing; Tan, Shi-Hao; Nicolas, Valérie; Bauvy, Chantal; Yang, Nai-Di; Zhang, Jianbin; Xue, Yuan; Codogno, Patrice; Shen, Han-Ming; ",Activation of lysosomal function in the course of autophagy via mTORC1 suppression and autophagosome-lysosome fusion,Cell research,23,4,508-523,2013,Nature Publishing Group
"Xue, Yuan; Osborn, Jossef; Panchal, Anand; Mellies, Jay L; ",The RpoE stress response pathway mediates reduction of the virulence of enteropathogenic Escherichia coli by zinc,Appl. Environ. Microbiol.,81,11,3766-3774,2015,American Society for Microbiology
"Xue, Y; Osborn, J; Panchal, A; Mellies, JL; Zhou, J; Tan, S; Nicolas, V; Bauvy, C; Yang, N; Zhang, J; ",Yuan Xue (Soso),,,,,,
"Schaum, Nicholas; Karkanias, Jim; Neff, Norma F; May, Andrew P; Quake, Stephen R; Wyss-Coray, Tony; Darmanis, Spyros; Batson, Joshua; Botvinnik, Olga; Chen, Michelle B; ",Single-cell transcriptomic characterization of 20 organs and tissues from individual mice creates a Tabula Muris,BioRxiv,,,237446,2018,Cold Spring Harbor Laboratory
"Tarashansky, Alexander J; Xue, Yuan; Li, Pengyang; Quake, Stephen R; Wang, Bo; ",Self-assembling manifolds in single-cell RNA sequencing data,eLife,8,,,2019,"eLife Sciences Publications, Ltd"
"Tabula Muris Consortium; ",Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris.,Nature,562,7727,367,2018,
"Xue, Yuan; Theisen, Terence T.; Rastogi, Suchita; Ferrel, Abel; Quake, Stephen R.; Boothroyd, John C.; ",A single-parasite transcriptional landscape of asexual development in Toxoplasma gondii,bioRxiv,,656165,,2019,
"Schaum, Nicholas; Lehallier, Benoit; Hahn, Oliver; Hosseinzadeh, Shayan; Lee, Song E; Sit, Rene; Lee, Davis P; Losada, Patricia Morán; Zardeneta, Macy E; Pálovics, Róbert; ",The murine transcriptome reveals global aging nodes with organ-specific phase and amplitude,bioRxiv,,,662254,2019,Cold Spring Harbor Laboratory
"Xue, Yuan; Osborn, Jossef; Panchal, Anand; Mellies, Jay L; ",The RpoE stress response pathway mediates reduction of enteropathogenic Escherichia coli virulence by zinc,Applied and Environmental Microbiology,,,,2015,American Society for Microbiology
"Rastogi, Suchita; Xue, Yuan; Quake, Stephen R.; Boothroyd, John C.; ",Differential Impacts on Host Transcription by ROP and GRA Effectors from the Intracellular Parasite Toxoplasma gondii,"bioRxiv, 934570",,,,2020,
"Xue, Yuan; Theisen, Terence C; Rastogi, Suchita; Ferrel, Abel; Quake, Stephen R; Boothroyd, John C; ",A single-parasite transcriptional atlas of Toxoplasma gondii reveals novel control of antigen expression,Elife,9,,,2020,"eLife Sciences Publications, Ltd"
"Pisco, Angela Oliveira; Schaum, Nicholas; McGeever, Aaron; Karkanias, Jim; Neff, Norma F; Darmanis, Spyros; Wyss-Coray, Tony; Quake, Stephen R; ",A Single cell transcriptomic atlas characterizes aging tissues in the mouse,bioRxiv,,,661728,2019,Cold Spring Harbor Laboratory
"Xue, Yuan; Theisen, Terence C; Rastogi, Suchita; Ferrel, Abel; Quake, Stephen R; Boothroyd, John C; ",Building a single-cell co-transcriptomic atlas of the toxoplasma interactome,Cell Symposia. Single Cells: From Technology to Biology,,,,2019,
